BaitID	Domain	Level	Target	RegionOffset	BaitOffset	Tm	Gene	GeneOffset	Method	Source
VS002-028-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28326	0	78.00	gE	951	Pseudo-Organism	Target
VS002-028-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28326	5	78.00	gE	956	Pseudo-Organism	Target
VS002-028-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28326	10	78.00	gE	961	Pseudo-Organism	Target
VS002-028-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28326	15	78.00	gE	966	Pseudo-Organism	Target
VS002-028-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28326	20	78.00	gE	971	Pseudo-Organism	Target
VS002-029-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28248	0	79.26	gE	873	Pseudo-Organism	Target
VS002-029-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28248	5	79.26	gE	878	Pseudo-Organism	Target
VS002-029-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28248	10	79.26	gE	883	Pseudo-Organism	Target
VS002-029-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28248	15	79.26	gE	888	Pseudo-Organism	Target
VS002-029-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28248	20	79.26	gE	893	Pseudo-Organism	Target
VS002-030-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28222	0	77.70	gE	847	Pseudo-Organism	Target
VS002-030-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28222	5	77.70	gE	852	Pseudo-Organism	Target
VS002-030-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28222	10	77.70	gE	857	Pseudo-Organism	Target
VS002-030-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28222	15	77.70	gE	862	Pseudo-Organism	Target
VS002-030-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	28222	20	77.70	gE	867	Pseudo-Organism	Target
VS002-031-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	18235	2	82.05	UL9	2417	Pseudo-Organism	Target
VS002-031-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	18235	7	82.05	UL9	2422	Pseudo-Organism	Target
VS002-031-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	18235	12	82.05	UL9	2427	Pseudo-Organism	Target
VS002-031-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	18235	17	82.05	UL9	2432	Pseudo-Organism	Target
VS002-032-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	6149	0	81.90	gH	832	Pseudo-Organism	Target
VS002-032-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	6149	5	81.90	gH	837	Pseudo-Organism	Target
VS002-032-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	6149	10	81.90	gH	842	Pseudo-Organism	Target
VS002-032-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	6149	15	81.90	gH	847	Pseudo-Organism	Target
VS002-032-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	6149	20	81.90	gH	852	Pseudo-Organism	Target
VS002-033-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	19065	0	74.42	UL6	736	Pseudo-Organism	Target
VS002-033-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	19065	5	74.42	UL6	741	Pseudo-Organism	Target
VS002-033-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	19065	10	74.42	UL6	746	Pseudo-Organism	Target
VS002-033-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	19065	15	74.42	UL6	751	Pseudo-Organism	Target
VS002-033-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	19065	20	74.42	UL6	756	Pseudo-Organism	Target
VS002-034-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	7302	0	76.07	gH	1985	Pseudo-Organism	Target
VS002-034-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	7302	5	76.07	gH	1990	Pseudo-Organism	Target
VS002-034-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	7302	10	76.07	gH	1995	Pseudo-Organism	Target
VS002-034-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	7302	15	76.07	gH	2000	Pseudo-Organism	Target
VS002-034-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	7302	20	76.07	gH	2005	Pseudo-Organism	Target
VS002-035-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	19013	0	82.42	UL6	684	Pseudo-Organism	Target
VS002-035-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	19013	5	82.42	UL6	689	Pseudo-Organism	Target
VS002-035-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	19013	10	82.42	UL6	694	Pseudo-Organism	Target
VS002-035-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	19013	15	82.42	UL6	699	Pseudo-Organism	Target
VS002-035-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	19013	20	82.42	UL6	704	Pseudo-Organism	Target
VS002-036-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	24342	0	76.03	MCP	3702	Pseudo-Organism	Target
VS002-036-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	24342	5	76.03	MCP	3707	Pseudo-Organism	Target
VS002-036-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	24342	10	76.03	MCP	3712	Pseudo-Organism	Target
VS002-036-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	24342	15	76.03	MCP	3717	Pseudo-Organism	Target
VS002-036-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	24342	20	76.03	MCP	3722	Pseudo-Organism	Target
VS002-037-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	7198	0	78.11	gH	1881	Pseudo-Organism	Target
VS002-037-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	7198	5	78.11	gH	1886	Pseudo-Organism	Target
VS002-037-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	7198	10	78.11	gH	1891	Pseudo-Organism	Target
VS002-037-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	7198	15	78.11	gH	1896	Pseudo-Organism	Target
VS002-037-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	7198	20	78.11	gH	1901	Pseudo-Organism	Target
VS002-038-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	9355	0	80.21	ORF2	592	Pseudo-Organism	Target
VS002-038-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	9355	5	80.21	ORF2	597	Pseudo-Organism	Target
VS002-038-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	9355	10	80.21	ORF2	602	Pseudo-Organism	Target
VS002-038-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	9355	15	80.21	ORF2	607	Pseudo-Organism	Target
VS002-038-5	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	9355	20	80.21	ORF2	612	Pseudo-Organism	Target
VS002-039-1	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	35836	0	74.33	pol	617	Pseudo-Organism	Target
VS002-039-2	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	35836	5	74.33	pol	622	Pseudo-Organism	Target
VS002-039-3	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	35836	10	74.33	pol	627	Pseudo-Organism	Target
VS002-039-4	Virus	Species	Alphaherpesvirinae_alphaherpesvirus3	35836	15	74.33	pol	632	Pseudo-Organism	Target
