BaitID	TaxID	TargetRegion	RegionPositon	GeneCluster	ClusterPosition
Bait00043	694001	Reg02850	6213	1a_0032	144
Bait00044	694001	Reg02850	6214	1a_0032	145
Bait00045	694001	Reg02850	6215	1a_0032	146
Bait00046	694001	Reg02850	6216	1a_0032	147
Bait00047	1541205	Reg00873	7337	rep_0006	5165
Bait00048	1590370	Reg00995	433	HE_0002	433
Bait00049	1590370	Reg00995	434	HE_0002	434
Bait00050	694005	Reg03062	11637	1a_0010	3729
Bait00051	2509512	Reg02437	1507	1a_0027	813
Bait00052	2509512	Reg02437	1525	1a_0027	831
Bait00053	2509512	Reg02437	1543	1a_0027	849
Bait00054	2509512	Reg02437	1561	1a_0027	867
Bait00055	2509512	Reg02437	1579	1a_0027	885
Bait00056	2509512	Reg02437	1597	1a_0027	903
Bait00057	1503291	Reg00708	5107	S_0043	2497
Bait00058	1503291	Reg00708	5108	S_0043	2498
Bait00059	1159902	Reg00076	1193	N_0026	385
Bait00060	1159902	Reg00076	1194	N_0026	386
Bait00061	1159902	Reg00076	1195	N_0026	387
Bait00062	1159902	Reg00076	1196	N_0026	388
Bait00063	1159902	Reg00076	1197	N_0026	389
Bait00064	1159902	Reg00076	1198	N_0026	390
Bait00065	1159902	Reg00076	1199	N_0026	391
Bait00066	1159902	Reg00076	1200	N_0026	392
Bait00067	1159902	Reg00076	1201	N_0026	393
Bait00068	1159902	Reg00076	1202	N_0026	394
Bait00069	1159902	Reg00076	1203	N_0026	395
Bait00070	1159902	Reg00076	1204	N_0026	396
Bait00071	1159902	Reg00076	1205	N_0026	397
Bait00072	1159902	Reg00076	1206	N_0026	398
Bait00073	1159902	Reg00076	1207	N_0026	399
Bait00074	1159902	Reg00076	1208	N_0026	400
Bait00075	1159902	Reg00076	1209	N_0026	401
Bait00076	1159902	Reg00076	1210	N_0026	402
Bait00077	1159902	Reg00076	1211	N_0026	403
Bait00078	1159902	Reg00076	1212	N_0026	404
Bait00079	1159902	Reg00076	1213	N_0026	405
Bait00080	1159902	Reg00076	1214	N_0026	406
Bait00081	1159902	Reg00076	1215	N_0026	407
Bait00082	1159902	Reg00076	1216	N_0026	408
Bait00083	1159902	Reg00076	1217	N_0026	409
Bait00084	694006	Reg03157	6024	1a_0020	120
Bait00085	694006	Reg03157	6029	1a_0020	125
Bait00086	694006	Reg03157	6034	1a_0020	130
Bait00087	694006	Reg03157	6039	1a_0020	135
Bait00088	694006	Reg03157	6044	1a_0020	140
Bait00089	1159903	Reg00109	1445	S_0027	1445
Bait00090	1159903	Reg00109	1446	S_0027	1446
Bait00091	1159903	Reg00109	1447	S_0027	1447
Bait00092	1159903	Reg00109	1448	S_0027	1448
Bait00093	1159903	Reg00109	1449	S_0027	1449
Bait00094	1159903	Reg00109	1450	S_0027	1450
Bait00095	1159903	Reg00109	1451	S_0027	1451
Bait00096	1159903	Reg00109	1452	S_0027	1452
Bait00097	1159903	Reg00109	1453	S_0027	1453
Bait00098	1159903	Reg00109	1454	S_0027	1454
Bait00099	1159903	Reg00109	1455	S_0027	1455
Bait00100	1159903	Reg00109	1456	S_0027	1456
Bait00101	1159903	Reg00109	1457	S_0027	1457
Bait00102	1159903	Reg00109	1458	S_0027	1458
Bait00103	1159903	Reg00109	1459	S_0027	1459
Bait00104	1159903	Reg00109	1460	S_0027	1460
Bait00105	1159903	Reg00109	1461	S_0027	1461
Bait00106	1159903	Reg00109	1462	S_0027	1462
Bait00107	1159903	Reg00109	1463	S_0027	1463
Bait00108	694006	Reg03114	1066	N_0025	396
Bait00109	694006	Reg03114	1067	N_0025	397
Bait00110	694006	Reg03114	1068	N_0025	398
Bait00111	694006	Reg03114	1069	N_0025	399
Bait00112	694006	Reg03184	7110	1a_0020	1206
Bait00113	694006	Reg03184	7111	1a_0020	1207
Bait00114	694006	Reg03184	7112	1a_0020	1208
Bait00115	694006	Reg03184	7113	1a_0020	1209
Bait00116	694006	Reg03184	7114	1a_0020	1210
Bait00117	694006	Reg03184	7115	1a_0020	1211
Bait00118	694006	Reg03184	7116	1a_0020	1212
Bait00119	1159908	Reg00340	15929	1a_0007	2689
Bait00120	694005	Reg03024	8034	1a_0010	126
Bait00121	694005	Reg03024	8035	1a_0010	127
Bait00122	1964806	Reg01381	147	S_0019	147
Bait00123	1964806	Reg01381	148	S_0019	148
Bait00124	1964806	Reg01381	149	S_0019	149
Bait00125	1964806	Reg01381	150	S_0019	150
Bait00126	2509494	Reg01796	15305	1a_0013	5122
Bait00127	2509494	Reg01796	15306	1a_0013	5123
Bait00128	2509494	Reg01796	15307	1a_0013	5124
Bait00129	694008	Reg03278	5015	1a_0015	702
Bait00130	694008	Reg03278	5019	1a_0015	706
Bait00131	694008	Reg03278	5023	1a_0015	710
Bait00132	694008	Reg03278	5027	1a_0015	714
Bait00133	694008	Reg03278	5031	1a_0015	718
Bait00134	694008	Reg03278	5035	1a_0015	722
Bait00135	694008	Reg03278	5039	1a_0015	726
Bait00136	694008	Reg03278	5043	1a_0015	730
Bait00137	694008	Reg03278	5047	1a_0015	734
Bait00138	694008	Reg03278	5051	1a_0015	738
Bait00139	694008	Reg03325	7738	1a_0015	3425
Bait00140	694008	Reg03325	7739	1a_0015	3426
Bait00141	694008	Reg03325	7740	1a_0015	3427
Bait00142	694008	Reg03325	7741	1a_0015	3428
Bait00143	1159908	Reg00322	11328	S_0030	1707
Bait00144	1159908	Reg00322	11329	S_0030	1708
Bait00145	1159908	Reg00322	11330	S_0030	1709
Bait00146	1159908	Reg00322	11331	S_0030	1710
Bait00147	1159908	Reg00322	11332	S_0030	1711
Bait00148	693997	Reg02741	12229	1a_0023	5080
Bait00149	28295	Reg02575	2364	1a_0034	358
Bait00150	28295	Reg02575	2365	1a_0034	359
Bait00151	28295	Reg02575	2366	1a_0034	360
Bait00152	28295	Reg02575	2367	1a_0034	361
Bait00153	28295	Reg02575	2368	1a_0034	362
Bait00154	28295	Reg02575	2369	1a_0034	363
Bait00155	28295	Reg02575	2370	1a_0034	364
Bait00156	694001	Reg02927	10185	1a_0032	4116
Bait00157	694001	Reg02927	10187	1a_0032	4118
Bait00158	694001	Reg02927	10189	1a_0032	4120
Bait00159	694001	Reg02927	10191	1a_0032	4122
Bait00160	694001	Reg02927	10193	1a_0032	4124
Bait00161	694001	Reg02927	10195	1a_0032	4126
Bait00162	1503291	Reg00751	16933	1a_0036	10209
Bait00163	2509512	Reg02509	6133	1a_0027	5439
Bait00164	2509512	Reg02509	6145	1a_0027	5451
Bait00165	2509512	Reg02509	6157	1a_0027	5463
Bait00166	2509512	Reg02509	6169	1a_0027	5475
Bait00167	2509512	Reg02509	6181	1a_0027	5487
Bait00168	2509481	Reg01403	862	M_0007	606
Bait00169	2509481	Reg01403	863	M_0007	607
Bait00170	2509481	Reg01403	864	M_0007	608
Bait00171	2509481	Reg01403	865	M_0007	609
Bait00172	2509481	Reg01403	866	M_0007	610
Bait00173	2509481	Reg01403	867	M_0007	611
Bait00174	2509481	Reg01403	868	M_0007	612
Bait00175	2509502	Reg02119	2439	rep_0008	2439
Bait00176	2509502	Reg02119	2440	rep_0008	2440
Bait00177	2509502	Reg02119	2441	rep_0008	2441
Bait00178	2509502	Reg02119	2442	rep_0008	2442
Bait00179	2509502	Reg02119	2443	rep_0008	2443
Bait00180	2509502	Reg02119	2444	rep_0008	2444
Bait00181	2509502	Reg02119	2445	rep_0008	2445
Bait00182	2509502	Reg02119	2446	rep_0008	2446
Bait00183	28295	Reg02634	10193	1a_0034	8187
Bait00184	28295	Reg02634	10194	1a_0034	8188
Bait00185	1541205	Reg00887	12715	S_0011	2430
Bait00186	1541205	Reg00887	12717	S_0011	2432
Bait00187	1541205	Reg00887	12719	S_0011	2434
Bait00188	1541205	Reg00887	12721	S_0011	2436
Bait00189	1541205	Reg00887	12723	S_0011	2438
Bait00190	1541205	Reg00887	12725	S_0011	2440
Bait00191	1541205	Reg00887	12727	S_0011	2442
Bait00192	1241933	Reg00374	6054	1a_0029	135
Bait00193	1508220	Reg00788	2542	S_0007	2211
Bait00194	694006	Reg03170	6779	1a_0020	875
Bait00195	TXID30106887	Reg03618	9786	1a_0026	3819
Bait00196	TXID30106887	Reg03618	9787	1a_0026	3820
Bait00197	694001	Reg02972	16521	1a_0032	10452
Bait00198	694007	Reg03254	6952	1a_0014	1981
Bait00199	11135	Reg00007	165	7b_0002	165
Bait00200	694015	Reg03460	16639	1a_0000	1964
Bait00201	694015	Reg03460	16642	1a_0000	1967
Bait00202	694015	Reg03460	16645	1a_0000	1970
Bait00203	694015	Reg03460	16648	1a_0000	1973
Bait00204	694015	Reg03460	16651	1a_0000	1976
Bait00205	694015	Reg03460	16654	1a_0000	1979
Bait00206	694015	Reg03460	16657	1a_0000	1982
Bait00207	694015	Reg03460	16660	1a_0000	1985
Bait00208	694015	Reg03460	16663	1a_0000	1988
Bait00209	694015	Reg03460	16666	1a_0000	1991
Bait00210	694015	Reg03460	16669	1a_0000	1994
Bait00211	694015	Reg03460	16672	1a_0000	1997
Bait00212	694015	Reg03460	16675	1a_0000	2000
Bait00213	694015	Reg03460	16678	1a_0000	2003
Bait00214	694015	Reg03460	16681	1a_0000	2006
Bait00215	694015	Reg03460	16684	1a_0000	2009
Bait00216	694015	Reg03460	16687	1a_0000	2012
Bait00217	694015	Reg03460	16690	1a_0000	2015
Bait00218	1590370	Reg01029	6750	1a_0012	561
Bait00219	1590370	Reg01029	6751	1a_0012	562
Bait00220	2509511	Reg02389	13900	1a_0018	3846
Bait00221	1159908	Reg00335	13564	1a_0007	324
Bait00222	1159908	Reg00335	13565	1a_0007	325
Bait00223	1159908	Reg00335	13566	1a_0007	326
Bait00224	1159908	Reg00335	13567	1a_0007	327
Bait00225	1159908	Reg00335	13568	1a_0007	328
Bait00226	1159908	Reg00335	13569	1a_0007	329
Bait00227	1159908	Reg00335	13570	1a_0007	330
Bait00228	2509496	Reg01826	171	E_0009	171
Bait00229	1590370	Reg01051	9047	1a_0012	2858
Bait00230	TXID30106882	Reg03519	3505	S_0012	3505
Bait00231	TXID30106882	Reg03519	3506	S_0012	3506
Bait00232	2509512	Reg02480	4010	1a_0027	3316
Bait00233	2509512	Reg02480	4011	1a_0027	3317
Bait00234	694001	Reg02975	18132	1a_0032	12063
Bait00235	694001	Reg02975	18133	1a_0032	12064
Bait00236	1503289	Reg00558	1083	M_0020	422
Bait00237	1503289	Reg00558	1085	M_0020	424
Bait00238	1503289	Reg00558	1087	M_0020	426
Bait00239	1503289	Reg00558	1089	M_0020	428
Bait00240	1503289	Reg00558	1091	M_0020	430
Bait00241	1503289	Reg00558	1093	M_0020	432
Bait00242	1503289	Reg00558	1095	M_0020	434
Bait00243	1503289	Reg00558	1097	M_0020	436
Bait00244	1503289	Reg00558	1099	M_0020	438
Bait00245	1503289	Reg00558	1101	M_0020	440
Bait00246	1503289	Reg00558	1103	M_0020	442
Bait00247	694005	Reg03092	18625	1a_0010	10717
Bait00248	694005	Reg03092	18626	1a_0010	10718
Bait00249	694005	Reg03092	18627	1a_0010	10719
Bait00250	694005	Reg03092	18628	1a_0010	10720
Bait00251	TXID30106887	Reg03523	2	4b_0007	2
Bait00252	TXID30106887	Reg03523	12	4b_0007	12
Bait00253	TXID30106887	Reg03523	22	4b_0007	22
Bait00254	TXID30106887	Reg03523	32	4b_0007	32
Bait00255	TXID30106887	Reg03523	42	4b_0007	42
Bait00256	1159905	Reg00195	1190	S_0022	1190
Bait00257	1384461	Reg00494	16611	1a_0033	9875
Bait00258	TXID30106887	Reg03566	6139	1a_0026	172
Bait00259	TXID30106887	Reg03566	6140	1a_0026	173
Bait00260	TXID30106887	Reg03566	6141	1a_0026	174
Bait00261	1503291	Reg00650	1489	N_0009	176
Bait00262	694005	Reg02997	3849	S_0004	76
Bait00263	694005	Reg02997	3859	S_0004	86
Bait00264	694005	Reg02997	3869	S_0004	96
Bait00265	694005	Reg02997	3879	S_0004	106
Bait00266	694005	Reg02997	3889	S_0004	116
Bait00267	TXID30106887	Reg03557	4436	S_0037	1992
Bait00268	TXID30106887	Reg03557	4442	S_0037	1998
Bait00269	TXID30106887	Reg03557	4448	S_0037	2004
Bait00270	TXID30106887	Reg03557	4454	S_0037	2010
Bait00271	TXID30106887	Reg03557	4460	S_0037	2016
Bait00272	393767	Reg02650	106	N_0014	106
Bait00273	393767	Reg02650	107	N_0014	107
Bait00274	393767	Reg02650	108	N_0014	108
Bait00275	393767	Reg02650	109	N_0014	109
Bait00276	393767	Reg02650	110	N_0014	110
Bait00277	393767	Reg02650	111	N_0014	111
Bait00278	393767	Reg02650	112	N_0014	112
Bait00279	393767	Reg02650	113	N_0014	113
Bait00280	393767	Reg02650	114	N_0014	114
Bait00281	393767	Reg02650	115	N_0014	115
Bait00282	393767	Reg02650	116	N_0014	116
Bait00283	393767	Reg02650	117	N_0014	117
Bait00284	393767	Reg02650	118	N_0014	118
Bait00285	393767	Reg02650	119	N_0014	119
Bait00286	2509481	Reg01408	1056	N_0017	105
Bait00287	1159906	Reg00218	1147	S_0028	1147
Bait00288	1503291	Reg00687	2914	S_0043	304
Bait00289	1503291	Reg00687	2915	S_0043	305
Bait00290	1503291	Reg00687	2916	S_0043	306
Bait00291	1503291	Reg00687	2917	S_0043	307
Bait00292	1503291	Reg00687	2918	S_0043	308
Bait00293	1503291	Reg00687	2919	S_0043	309
Bait00294	1503291	Reg00687	2920	S_0043	310
Bait00295	2509502	Reg02103	1459	rep_0008	1459
Bait00296	2509502	Reg02103	1461	rep_0008	1461
Bait00297	2509502	Reg02103	1463	rep_0008	1463
Bait00298	2509502	Reg02103	1465	rep_0008	1465
Bait00299	2509502	Reg02103	1467	rep_0008	1467
Bait00300	2509502	Reg02103	1469	rep_0008	1469
Bait00301	2509502	Reg02103	1471	rep_0008	1471
Bait00302	2509502	Reg02103	1473	rep_0008	1473
Bait00303	1159905	Reg00190	375	S_0022	375
Bait00304	1159908	Reg00281	431	M_0006	431
Bait00305	1159908	Reg00281	432	M_0006	432
Bait00306	1159908	Reg00281	433	M_0006	433
Bait00307	694007	Reg03256	8045	1a_0014	3074
Bait00308	694007	Reg03256	8046	1a_0014	3075
Bait00309	694007	Reg03256	8047	1a_0014	3076
Bait00310	694007	Reg03256	8048	1a_0014	3077
Bait00311	694007	Reg03256	8049	1a_0014	3078
Bait00312	694007	Reg03256	8050	1a_0014	3079
Bait00313	694007	Reg03256	8051	1a_0014	3080
Bait00314	694007	Reg03256	8052	1a_0014	3081
Bait00315	694007	Reg03256	8053	1a_0014	3082
Bait00316	694007	Reg03256	8054	1a_0014	3083
Bait00317	694007	Reg03256	8055	1a_0014	3084
Bait00318	694007	Reg03256	8056	1a_0014	3085
Bait00319	694007	Reg03256	8057	1a_0014	3086
Bait00320	694007	Reg03256	8058	1a_0014	3087
Bait00321	694007	Reg03256	8059	1a_0014	3088
Bait00322	694007	Reg03256	8060	1a_0014	3089
Bait00323	694007	Reg03256	8061	1a_0014	3090
Bait00324	694007	Reg03256	8062	1a_0014	3091
Bait00325	694007	Reg03256	8063	1a_0014	3092
Bait00326	694007	Reg03256	8064	1a_0014	3093
Bait00327	694007	Reg03256	8065	1a_0014	3094
Bait00328	694007	Reg03256	8066	1a_0014	3095
Bait00329	694007	Reg03256	8067	1a_0014	3096
Bait00330	393767	Reg02656	6000	1a_0031	700
Bait00331	1503291	Reg00717	6542	S_0043	3932
Bait00332	1503291	Reg00717	6543	S_0043	3933
Bait00333	1503291	Reg00717	6544	S_0043	3934
Bait00334	1384461	Reg00445	3406	S_0034	766
Bait00335	1384461	Reg00445	3407	S_0034	767
Bait00336	1541205	Reg00879	10368	S_0011	83
Bait00337	693997	Reg02728	9275	1a_0023	2126
Bait00338	693997	Reg02728	9277	1a_0023	2128
Bait00339	693997	Reg02728	9279	1a_0023	2130
Bait00340	693997	Reg02728	9281	1a_0023	2132
Bait00341	693997	Reg02728	9283	1a_0023	2134
Bait00342	694006	Reg03137	2000	N_0025	1330
Bait00343	1920748	Reg01376	2931	S_0039	1021
Bait00344	1920748	Reg01376	2932	S_0039	1022
Bait00345	1920748	Reg01376	2933	S_0039	1023
Bait00346	28295	Reg02555	1182	N_0007	503
Bait00347	28295	Reg02555	1183	N_0007	504
Bait00348	28295	Reg02555	1184	N_0007	505
Bait00349	28295	Reg02555	1185	N_0007	506
Bait00350	TXID30106887	Reg03576	7014	1a_0026	1047
Bait00351	TXID30106887	Reg03542	1789	N_0003	524
Bait00352	TXID30106887	Reg03542	1790	N_0003	525
Bait00353	694006	Reg03105	774	N_0025	104
Bait00354	694006	Reg03105	777	N_0025	107
Bait00355	694006	Reg03105	780	N_0025	110
Bait00356	694006	Reg03105	783	N_0025	113
Bait00357	694006	Reg03105	786	N_0025	116
Bait00358	693999	Reg02772	2407	S_0036	545
Bait00359	1159906	Reg00213	237	S_0028	237
Bait00360	1159906	Reg00213	238	S_0028	238
Bait00361	1159906	Reg00213	239	S_0028	239
Bait00362	1159906	Reg00213	240	S_0028	240
Bait00363	1503289	Reg00588	5728	S_0044	3091
Bait00364	2509494	Reg01733	5518	rep_0005	3364
Bait00365	2509512	Reg02528	10367	1a_0027	9673
Bait00366	2509512	Reg02528	10368	1a_0027	9674
Bait00367	2509512	Reg02528	10369	1a_0027	9675
Bait00368	2509512	Reg02528	10370	1a_0027	9676
Bait00369	2509512	Reg02528	10371	1a_0027	9677
Bait00370	2509512	Reg02528	10372	1a_0027	9678
Bait00371	1920748	Reg01360	1005	N_0004	320
Bait00372	1920748	Reg01360	1006	N_0004	321
Bait00373	1920748	Reg01360	1007	N_0004	322
Bait00374	1920748	Reg01360	1008	N_0004	323
Bait00375	1920748	Reg01360	1009	N_0004	324
Bait00376	2509502	Reg02219	7392	rep_0008	7392
Bait00377	2509502	Reg02219	7400	rep_0008	7400
Bait00378	2509502	Reg02219	7408	rep_0008	7408
Bait00379	2509502	Reg02219	7416	rep_0008	7416
Bait00380	2509502	Reg02219	7424	rep_0008	7424
Bait00381	1503291	Reg00662	1907	N_0009	594
Bait00382	1503291	Reg00662	1908	N_0009	595
Bait00383	1503291	Reg00662	1909	N_0009	596
Bait00384	1503291	Reg00662	1910	N_0009	597
Bait00385	1503291	Reg00662	1911	N_0009	598
Bait00386	1892416	Reg01191	6422	1a_0019	548
Bait00387	1892416	Reg01191	6423	1a_0019	549
Bait00388	1892416	Reg01191	6424	1a_0019	550
Bait00389	1892416	Reg01191	6425	1a_0019	551
Bait00390	1892416	Reg01191	6426	1a_0019	552
Bait00391	1892416	Reg01191	6427	1a_0019	553
Bait00392	TXID30106882	Reg03489	302	S_0012	302
Bait00393	TXID30106882	Reg03489	303	S_0012	303
Bait00394	TXID30106882	Reg03489	304	S_0012	304
Bait00395	TXID30106882	Reg03489	305	S_0012	305
Bait00396	TXID30106882	Reg03489	306	S_0012	306
Bait00397	694008	Reg03268	4469	1a_0015	156
Bait00398	694008	Reg03268	4470	1a_0015	157
Bait00399	694008	Reg03268	4471	1a_0015	158
Bait00400	694008	Reg03268	4472	1a_0015	159
Bait00401	694015	Reg03390	1378	N_0031	305
Bait00402	694015	Reg03390	1379	N_0031	306
Bait00403	694015	Reg03390	1380	N_0031	307
Bait00404	694015	Reg03390	1381	N_0031	308
Bait00405	694015	Reg03390	1382	N_0031	309
Bait00406	1503291	Reg00699	4852	S_0043	2242
Bait00407	1503291	Reg00699	4853	S_0043	2243
Bait00408	1503291	Reg00699	4854	S_0043	2244
Bait00409	1503291	Reg00699	4855	S_0043	2245
Bait00410	1503291	Reg00699	4856	S_0043	2246
Bait00411	28295	Reg02560	1377	N_0007	698
Bait00412	2509494	Reg01803	17111	1a_0013	6928
Bait00413	2509496	Reg01888	4248	1a_0024	1311
Bait00414	TXID30106882	Reg03497	1012	S_0012	1012
Bait00415	1384461	Reg00447	3412	S_0034	772
Bait00416	694001	Reg02827	1234	N_0015	564
Bait00417	2509511	Reg02343	11728	1a_0018	1674
Bait00418	2509511	Reg02343	11733	1a_0018	1679
Bait00419	2509511	Reg02343	11738	1a_0018	1684
Bait00420	2509511	Reg02343	11743	1a_0018	1689
Bait00421	2509511	Reg02343	11748	1a_0018	1694
Bait00422	1892416	Reg01124	2551	S_0014	551
Bait00423	1892416	Reg01124	2552	S_0014	552
Bait00424	1892416	Reg01124	2553	S_0014	553
Bait00425	1892416	Reg01124	2554	S_0014	554
Bait00426	1892416	Reg01124	2555	S_0014	555
Bait00427	1892416	Reg01124	2556	S_0014	556
Bait00428	1892416	Reg01124	2557	S_0014	557
Bait00429	694015	Reg03413	2132	N_0031	1059
Bait00430	2509494	Reg01813	20192	1a_0013	10009
Bait00431	2509494	Reg01813	20193	1a_0013	10010
Bait00432	1384461	Reg00458	7693	1a_0033	957
Bait00433	1384461	Reg00458	7694	1a_0033	958
Bait00434	1384461	Reg00458	7695	1a_0033	959
Bait00435	28295	Reg02549	1049	N_0007	370
Bait00436	694005	Reg03044	9834	1a_0010	11760
Bait00437	1503291	Reg00693	3243	S_0043	633
Bait00438	1503291	Reg00693	3244	S_0043	634
Bait00439	2509492	Reg01678	19303	1a_0022	8686
Bait00440	2509492	Reg01678	19304	1a_0022	8687
Bait00441	2509492	Reg01678	19305	1a_0022	8688
Bait00442	2509492	Reg01678	19306	1a_0022	8689
Bait00443	2509496	Reg02047	12491	1a_0024	9554
Bait00444	1159905	Reg00201	1610	S_0022	1610
Bait00445	693999	Reg02803	7619	1a_0035	1640
Bait00446	693999	Reg02803	7627	1a_0035	1648
Bait00447	693999	Reg02803	7635	1a_0035	1656
Bait00448	693999	Reg02803	7643	1a_0035	1664
Bait00449	693999	Reg02803	7651	1a_0035	1672
Bait00450	2509512	Reg02535	12335	1a_0027	11641
Bait00451	2509512	Reg02535	12336	1a_0027	11642
Bait00452	2509512	Reg02535	12337	1a_0027	11643
Bait00453	2509512	Reg02535	12338	1a_0027	11644
Bait00454	1590370	Reg01071	14244	1a_0012	8055
Bait00455	1590370	Reg01071	14245	1a_0012	8056
Bait00456	1159908	Reg00346	17629	1a_0007	4389
Bait00457	1159908	Reg00346	17631	1a_0007	4391
Bait00458	1159908	Reg00346	17633	1a_0007	4393
Bait00459	1159908	Reg00346	17635	1a_0007	4395
Bait00460	1159908	Reg00346	17637	1a_0007	4397
Bait00461	1159908	Reg00346	17639	1a_0007	4399
Bait00462	1159908	Reg00346	17641	1a_0007	4401
Bait00463	1159908	Reg00346	17643	1a_0007	4403
Bait00464	1384461	Reg00498	18461	1a_0033	11725
Bait00465	1384461	Reg00498	18462	1a_0033	11726
Bait00466	1384461	Reg00498	18463	1a_0033	11727
Bait00467	1384461	Reg00498	18464	1a_0033	11728
Bait00468	1384461	Reg00498	18465	1a_0033	11729
Bait00469	1384461	Reg00498	18466	1a_0033	11730
Bait00470	1384461	Reg00498	18467	1a_0033	11731
Bait00471	1159908	Reg00329	11601	S_0030	1980
Bait00472	1159908	Reg00329	11602	S_0030	1981
Bait00473	1159908	Reg00329	11603	S_0030	1982
Bait00474	1159908	Reg00329	11604	S_0030	1983
Bait00475	1384461	Reg00415	1000	M_0024	321
Bait00476	1384461	Reg00415	1002	M_0024	323
Bait00477	1384461	Reg00415	1004	M_0024	325
Bait00478	1384461	Reg00415	1006	M_0024	327
Bait00479	1384461	Reg00415	1008	M_0024	329
Bait00480	1384461	Reg00415	1010	M_0024	331
Bait00481	1384461	Reg00415	1012	M_0024	333
Bait00482	1384461	Reg00415	1014	M_0024	335
Bait00483	1384461	Reg00415	1016	M_0024	337
Bait00484	1384461	Reg00415	1018	M_0024	339
Bait00485	1384461	Reg00415	1020	M_0024	341
Bait00486	1384461	Reg00415	1022	M_0024	343
Bait00487	1384461	Reg00415	1024	M_0024	345
Bait00488	1384461	Reg00415	1026	M_0024	347
Bait00489	1384461	Reg00415	1028	M_0024	349
Bait00490	1384461	Reg00415	1030	M_0024	351
Bait00491	1384461	Reg00415	1032	M_0024	353
Bait00492	694006	Reg03110	936	N_0025	266
Bait00493	694006	Reg03110	937	N_0025	267
Bait00494	694006	Reg03110	938	N_0025	268
Bait00495	694006	Reg03110	939	N_0025	269
Bait00496	694006	Reg03110	940	N_0025	270
Bait00497	694006	Reg03110	941	N_0025	271
Bait00498	694006	Reg03110	942	N_0025	272
Bait00499	694006	Reg03110	943	N_0025	273
Bait00500	1159903	Reg00112	1583	S_0027	1583
Bait00501	1159903	Reg00112	1585	S_0027	1585
Bait00502	1159903	Reg00112	1587	S_0027	1587
Bait00503	1159903	Reg00112	1589	S_0027	1589
Bait00504	1159903	Reg00112	1591	S_0027	1591
Bait00505	1159903	Reg00112	1593	S_0027	1593
Bait00506	1159903	Reg00112	1595	S_0027	1595
Bait00507	1159903	Reg00112	1597	S_0027	1597
Bait00508	1159903	Reg00112	1599	S_0027	1599
Bait00509	1159903	Reg00112	1601	S_0027	1601
Bait00510	1159903	Reg00112	1603	S_0027	1603
Bait00511	1159903	Reg00112	1605	S_0027	1605
Bait00512	1159903	Reg00112	1607	S_0027	1607
Bait00513	1159903	Reg00112	1609	S_0027	1609
Bait00514	1159903	Reg00112	1611	S_0027	1611
Bait00515	1159903	Reg00112	1613	S_0027	1613
Bait00516	1159903	Reg00112	1615	S_0027	1615
Bait00517	1159903	Reg00112	1617	S_0027	1617
Bait00518	1159903	Reg00112	1619	S_0027	1619
Bait00519	1159903	Reg00112	1621	S_0027	1621
